"KHANVERSE API ENDPOINTS (for mobile app developers)"
"All endpoints start with: BASE_URL (will be your live domain, e.g. https://khanverse.com)/api"
"Host = localhost during local dev -> change to live domain after hosting"
"Auth via session (web middleware). Mobile app should hit these over HTTP with cookies (same domain / session) OR expect JWT in phase 2."
"Total routes: 233"

#,Method,Endpoint,"Route Name",Auth,Middleware,Controller@Method
1,GET,/api/admin/brand-partners,admin.api.brand-partners.index,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\BrandPartnerApiController@index"
2,POST,/api/admin/brand-partners,admin.api.brand-partners.store,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\BrandPartnerApiController@store"
3,GET,/api/admin/brand-partners/{id},admin.api.brand-partners.show,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\BrandPartnerApiController@show"
4,PUT,/api/admin/brand-partners/{id},admin.api.brand-partners.update,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\BrandPartnerApiController@update"
5,DELETE,/api/admin/brand-partners/{id},admin.api.brand-partners.destroy,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\BrandPartnerApiController@destroy"
6,POST,/api/admin/brand-partners/{id}/status,admin.api.brand-partners.status,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\BrandPartnerApiController@toggleStatus"
7,GET,/api/admin/categories,admin.api.categories.index,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\CategoryApiController@index"
8,POST,/api/admin/categories,admin.api.categories.store,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\CategoryApiController@store"
9,GET,/api/admin/categories/{id},admin.api.categories.show,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\CategoryApiController@show"
10,PUT,/api/admin/categories/{id},admin.api.categories.update,"ADMIN only","api | web | App\Http\Middleware\Authenticate:web | App\Http\Middleware\RoleMiddleware:admin","App\Http\Controllers\Admin\Api\CategoryApiController@update"
